locations,lat,lng
"23, Jalan Linggis 15/24, Seksyen 15, 40200 Shah Alam, Selangor, Malaysia",3.0615137,101.5234591
"The Nizra Building, 8, Jalan Seri Penchala, Kampung Sungai Penchala, 60000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1614609,101.6235018
"Jalan Tanjung Bandar Utama, Kampung Sungai Kayu Ara, Petaling Jaya, Selangor, Malaysia",3.1352708,101.6034976
"366, Jln Tun Razak, Taman U Thant, 55000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1575535,101.7214164
"8, Persiaran Kuala Selangor, Hicom Industrial Estate, 40400 Shah Alam, Selangor, Malaysia",3.0354096,101.5571006
"1683, Jalan Perusahaan, Bukit Tengah, 13600 Simpang Ampat, Pulau Pinang, Malaysia",5.336314,100.4323818
"16, Jalan Firma 3, Kawasan Perindustrian Tebrau 4, 81100 Johor Bahru, Johor, Malaysia",1.5363768,103.7530131
"7, 1, Jalan Kota Tinggi, 81100 Johor Bahru, Johor, Malaysia",1.5521443,103.8013057
"10, Jalan P Ramlee, 93400 Kuching, Sarawak, Malaysia",1.5567379,110.3413893
"2, Jalan Gambut, 25000 Kuantan, Pahang, Malaysia",3.8147206,103.3324242
"Block 3, Sime Darby Motors City, 6, Jalan PJU 1A/7, Ara Damansara, 47301 Petaling Jaya, Selangor, Malaysia",3.1150332,101.5690031
"362, Jln Tun Razak, Taman U Thant, 50400 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1585207,101.721286
"15, Jalan Anson, George Town, 10400 George Town, Pulau Pinang, Malaysia",5.421214,100.3245959
"2779, Jalan Damansara, Kampung Sungai Penchala, 60000 Kuala Lumpur, Selangor, Malaysia",3.1651287,101.6166489
"50009, Jln Kuching, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1891058,101.6695395
"Persiaran Setia Murni, Setia Alam, 40170 Shah Alam, Selangor, Malaysia",3.1094136,101.4505344
"99, Jln. Kuala Kangsar, Kampung Tembok, 30100 Ipoh, Perak, Malaysia",4.624364,101.0815891
"6235, Jalan Baru, 13600 Perai, Pulau Pinang, Malaysia",5.372152799999999,100.4107707
"801-2A Jalan Tun Jugah, 93350 Kuching, Sarawak, Malaysia",1.528741,110.3576813
"Cyclelogy , Jalan Bunga Ulam Raja, Metro Town, Lot 3, Ground FL, Block B, Jalan Bunga Ulam Raja, Off Tuaran Road, Kota Kinabalu, 88300, Sabah, 88300 Kota Kinabalu, Sabah, Malaysia",5.976207,116.11374
"6, Jalan PJU 1A/7, Ara Damansara, 47301 Petaling Jaya, Selangor, Malaysia",3.1145398,101.5698149
"306, Jln Sungai Besi, Chan Sow Lin, 57100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1204965,101.7088755
"6985, Jalan Baru, 13600 Perai, Pulau Pinang, Malaysia",5.372152799999999,100.4107707
"Skudai, Johor, Malaysia",1.5343616,103.6594267
"Lebuhraya Utara - Selatan, Malaysia",4.7638242,100.9027473
"Lebuhraya Utara - Selatan, Malaysia",4.7638242,100.9027473
"Lebuhraya Utara-Selatan, 78000 Alor Gajah, Melaka, Malaysia",2.3981683,102.2218974
"Lot R2, Overhead Bridge, Restaurant, KM 210, North-South Expy, 76470 Ayer Keroh, Malacca, Malaysia",2.3984425,102.220974
"84900, Johor, Malaysia",2.2857635,102.5757028
