,formatted_address,latitude,longitude,accuracy,google_place_id,type,postcode,input_string,number_of_results,status
0,"Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1174073,101.6780545,GEOMETRIC_CENTER,ChIJPbiasY5JzDER-5Fp9VNQTVY,"establishment,point_of_interest,shopping_mall",59200,Midvalley Megamall,1,OK
1,"Berjaya Times Square, Imbi, 55100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1421984,101.7105512,ROOFTOP,ChIJQ47BkCg2zDER3BvZuEV9la8,premise,55100,Berjaya Times Square,1,OK
2,"241, Suria KLCC, Kuala Lumpur City Centre, 50088 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1577167,101.7121716,GEOMETRIC_CENTER,ChIJH5xmLdE3zDERKa4a_IywVck,"establishment,point_of_interest,shopping_mall",50088,Suria KLCC,1,OK
3,"303, Jln Ampang, Desa Pahlawan, 55000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1602108,101.736936,ROOFTOP,ChIJW2BdmLA3zDERQI0BrKeUURc,"establishment,point_of_interest,shopping_mall",55000,Great Eastern Mall[1],1,OK
4,"1, Jalan Telawi 1, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.129626,101.670946,ROOFTOP,ChIJ3frksplJzDER5USO8zLKNs0,"establishment,point_of_interest,shopping_mall",59100,Bangsar Village I & II[2],1,OK
5,"285, Jalan Maarof, Bangsar, 59000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1428401,101.6675173,ROOFTOP,ChIJ7_y5Tq9JzDERVkRzAXei3c8,"establishment,point_of_interest,shopping_mall",59000,Bangsar Shopping Centre[3],1,OK
6,"201, Jalan Tun Sambanthan, Brickfields, 50470 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1330712,101.6870347,ROOFTOP,ChIJgakKKSVJzDERjXMeoGqoR98,"establishment,point_of_interest,shopping_mall",50470,NU Sentral[4],1,OK
7,"168, Jln Bukit Bintang, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1488558,101.7132547,ROOFTOP,ChIJm1A1iSw2zDERtJ-nsFBslu0,"establishment,point_of_interest,shopping_mall",55100,Pavilion KL,1,OK
8,"Berjaya Times Square, Imbi, 55100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1421984,101.7105512,ROOFTOP,ChIJQ47BkCg2zDER3BvZuEV9la8,premise,55100,Berjaya Times Square[5],1,OK
9,"Jln Bukit Bintang, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1457406,101.7102981,ROOFTOP,ChIJqYGucyk2zDERpJ37kYeZQPM,"establishment,premise",55100,Bukit Bintang Plaza (Under renovation),1,OK
