locations,lat,lng
"km.440,, Lebuhraya Utara - Selatan, 48000 Rawang, Selangor, Malaysia",3.3295501,101.5578744
"No 53-1B Jalan 1 Pusat Bandar Baru, Pusat Bandar Rawang, 48000 Rawang, Selangor, Malaysia",3.319381,101.578351
"Sungai Choh, 48200 Rawang, Selangor, Malaysia",3.343516,101.5873729
"19, 4, Jalan Rawang, 48000 Rawang, Selangor, Malaysia",3.3068125,101.5876797
"Jalan R 2/2, Taman Industri Integrasi Rawang, 48000 Rawang, Selangor, Malaysia",3.3102458,101.5631147
"48200, Selangor, Malaysia",3.3886863,101.6612934
"17, Jalan Rawang, Taman Setia Rawang, 48000 Rawang, Selangor, Malaysia",3.303257,101.598744
"Lot 597A, Batu 15, 48000, Taman Setia Jaya, 48000 Rawang, Selangor, Malaysia",3.3008245,101.6024449
"Lot 2059, Jalan Besar, 48200 Serendah, Selangor, Malaysia",3.3323186,101.5716224
"494, Jln Tun Razak, Cheras, 50400 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1348506,101.7188616
"Bandar Bukit Beruntung, 48300 Rawang, Selangor, Malaysia",3.4025666,101.5518531
"Lebuhraya Kuala Lumpur-Kuala Selangor, Selangor, Malaysia",3.2737135,101.4892504
"Lebuhraya Kl - Kuala Selangor, 48020 Rawang, Selangor, Malaysia",3.26974,101.508439
"Kampung Merbau Indah, Shah Alam, Selangor, Malaysia",3.222897,101.498296
"Persiaran Tan Sri Low Yow Chuan, Bandar Tasik Puteri, 48020 Rawang, Selangor, Malaysia",3.2881192,101.485641
"Kuang, 47000 Rawang, Selangor, Malaysia",3.258793,101.5546471
"Bandar Baru Sungai Buloh, 47000 Sungai Buloh, Selangor, Malaysia",3.211588,101.5696559
"47000 Sungai Buloh, Selangor, Malaysia",3.2244251,101.5770602
"Lot Pt 313, Hs, 5, Jalan Maarof, Bangsar, 58000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1280971,101.6750838
"232, 233, Jalan Maarof, Bangsar, 59000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1407454,101.6720106
"96, Jalan Bangsar, Bangsar, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1229662,101.676095
"Lebuhraya Baru Pantai, Malaysia",3.0841017,101.6327031
"177, Jalan Raja Muda Abdul Aziz, Kampung Baru, 50300 Kuala Lumpur, Wilayah Persekutuan, Malaysia",3.1677535,101.711865
"87, Jln Tun Razak, 50400 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1563005,101.7216149
"Lot 1246, Jalan Cochrane, Maluri, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1331259,101.7269357
"7, Jalan Sri Hartamas 6, Taman Sri Hartamas, 01000 Kangar, Perlis, Malaysia",3.1563091,101.6494215
"128, Jalan Kampung Pandan, Maluri, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1442838,101.7314618
"KL 1181 Batu 3 1/2 Klang Lama, Jalan Klang Lama, 58100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.105626,101.678397
"Jalan 5/105, Taman Midah, 56000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.0897785,101.7280245
"353, 3, Jln Cheras, 56000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1101318,101.7298679
"Lebuhraya SPRINT, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1447939,101.6438845
"Lebuhraya Baru Pantai, Malaysia",3.0841017,101.6327031
"59, 3, Jln Ampang, Kampung Berembang, 55000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1607693,101.7420238
"Lot 9524, Jalan Segambut, Kampung Pasir Segambut, 52000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1862899,101.6690911
"Jalan Sungai Besi, Salak Selatan, 57100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1045186,101.7034737
"Jalan Sungai Besi, Salak Selatan, 57100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1045186,101.7034737
