locations,lat,lng
Kuala Lumpur,3.1478,101.6953
Klang,3.0333,101.45
Ipoh,4.6,101.07
Butterworth,5.3942,100.3664
Johor Bahru,1.4556,103.7611
George Town,5.4145,100.3292
Petaling Jaya,3.1073,101.6067
Kuantan,3.8167,103.3333
Shah Alam,3.0833,101.5333
Kota Bharu,6.1333,102.25
Melaka,2.1889,102.2511
Kota Kinabalu,5.975,116.0725
Seremban,2.7297,101.9381
Sandakan,5.8388,118.1173
Sungai Petani,5.65,100.48
Kuching,1.5397,110.3542
Kuala Terengganu,5.3303,103.1408
Alor Setar,6.1167,100.3667
Putrajaya,2.93,101.69
Kangar,6.4414,100.1986
Labuan,5.2803,115.2475
Pasir Mas,6.0493,102.1399
Tumpat,6.2,102.1667
Ketereh,5.957,102.2482
Kampung Lemal,6.0302,102.1413
Pulai Chondong,5.8713,102.2318
