lat,lng
3.14687,101.71088
3.13089,101.67064
3.11837,101.62044
3.21351,101.63261
3.08277,101.58588
3.18127,101.70133
5.38489,100.3054
1.47997,103.76527
3.20212,101.73417
2.99162,101.79124
1.55741,110.35299
3.1563,101.69561
3.10713,101.73078
3.04835,101.58612
5.32771,100.28736
3.23694,101.64359
2.50455,102.8231
2.04421,102.56647
2.72206,101.93703
3.15776,101.75114
3.05865,101.64124
3.14755,101.73656
6.11778,100.36988
5.60096,100.47186
3.02769,101.71891
2.03007,103.31846
5.35274,100.29866
1.49559,103.8143
5.33358,100.29128
3.07208,101.60635
3.13669,101.70726
3.19737,101.70533
2.82133,101.7784
1.49602,103.70628
6.31008,99.85662
1.51976,110.33463
3.35101,101.7907
3.81568,103.33006
3.0608,101.61446
3.13737,101.60956
3.16541,101.65168
2.27718,102.298
3.23767,101.6992
1.55209,103.80133
3.19639,101.74263
3.0642,101.70344
5.41357,100.33226
3.07491,101.61211
3.81218,103.36307
3.01613,101.44392
3.07978,101.50776
3.07926,101.58642
3.03485,101.61588
2.70319,101.98557
1.54312,103.62904
3.19208,101.61665
1.50019,103.69737
3.12713,101.76408
3.00917,101.59958
3.14803,101.75217
6.36556,100.423
3.14366,101.71268
4.53869,103.42806
3.16068,101.57406
3.00438,101.54074
5.9707,116.07499
5.39972,100.40064
3.09084,101.69058
2.96648,101.72841
3.00694,101.43364
3.19494,101.59138
1.58257,103.80102
3.28334,101.47299
3.05415,101.70498
5.37742,100.31545
3.15795,101.61301
2.99572,101.67023
3.20495,101.75775
3.2082,101.61472
1.50134,103.65394
2.93953,101.71062
1.6377,103.62669
2.70138,101.91195
1.56411,103.61429
3.17797,101.60037
3.16018,101.75441
2.18975,102.25262
1.52352,103.67848
5.33305,100.30653
3.05235,101.76542
3.03313,101.76493
4.19947,100.65534
4.51668,101.13659
3.04037,101.5475
3.22181,101.72566
2.81342,101.50884
2.99357,101.44437
5.3169,100.454
2.22103,102.24907
5.98041,116.07346
3.22492,101.55594
3.10673,101.73024
5.92437,116.05036
5.29444,115.24925
1.50279,103.87423
2.96182,101.75804
1.86363,102.94906
4.01737,101.02751
4.86588,100.7312
3.1091,101.43821
2.75457,101.70377
3.00758,101.80839
2.27248,102.28527
6.11705,102.24016
3.08727,101.6131
5.36654,100.43415
1.47354,103.90798
1.72889,103.9024
4.61978,101.14674
2.8226,101.79381
3.21515,101.63148
1.48159,103.65775
4.54254,101.07042
3.21855,101.42824
4.32589,101.14395
3.14897,101.61612
2.28728,111.83054
4.47173,114.04296
4.75555,103.41337
5.38495,100.54608
1.52902,103.76857
2.98856,101.46605
5.47963,100.26127
3.31515,101.28274
3.15817,101.6137
2.89148,101.87084
1.83228,103.02417
5.45894,100.30875
2.71156,101.91533
1.56088,103.78027
1.54824,103.71361
2.28078,102.21564
2.23194,102.28173
2.87567,101.67437
3.11219,101.57907
4.4121,114.00283
4.714,100.71942
4.64724,101.10153
5.86559,118.05597
2.56026,101.81169
4.25189,117.89702
3.15805,101.69586
6.10075,116.17392
3.10947,101.46022
1.47839,103.39006
4.68597,101.12087
3.03439,101.4401
6.29559,99.72281
3.82076,103.29697
4.35904,100.98494
2.22801,102.29772
4.85068,100.70685
5.83894,118.1194
1.47345,103.73738
6.16424,102.28159
3.54189,103.38743
3.36052,101.53617
5.32209,100.47677
5.54238,100.4509
3.28696,102.45837
3.45127,102.45723
3.1403,101.62854
3.19339,113.0717
1.55857,110.34402
1.88541,103.1512
1.52453,103.64027
4.67209,101.0758
2.69945,101.97989
3.06564,101.49097
1.55366,110.33407
6.0962,100.37613
3.22892,101.69313
4.19587,100.66479
5.37592,103.08414
3.01234,101.48816
1.53124,103.75655
3.00846,101.7144
6.00677,102.27023
1.51628,110.38509
3.02109,101.62453
2.71537,101.90668
3.93649,102.36003
1.51563,110.30955
2.21034,102.21653
3.21723,101.73714
5.41277,100.32607
3.02632,101.58115
3.13143,101.6833
5.39776,100.32814
2.74135,101.70153
1.5734,110.27714
6.4353,100.20315
2.72639,101.93695
3.06886,101.69184
2.97066,101.71368
2.04765,102.59568
2.92211,101.73292
2.88785,101.79206
3.78234,103.28482
3.66368,101.01589
1.48477,103.95266
3.1594,101.51306
3.11741,101.67805
6.12497,100.36646
5.31977,100.28444
1.5199,103.65864
6.07301,102.23877
3.1344,101.68642
3.47126,102.33176
5.3743,100.40709
4.61747,101.11695
6.04289,116.1477
5.97809,116.07115
5.97815,116.07186
3.07364,101.59056
3.04421,101.51789
3.08212,101.54496
3.21127,101.7442
3.1096,101.637
3.08507,101.64675
3.07066,101.51725
5.30862,103.12688
4.22942,103.41997
2.91658,101.68506
3.06702,101.4228
2.92124,101.65603
1.58696,110.33137
3.7963,103.31749
5.98692,116.07729
1.4618,103.76396
3.15815,101.71209
3.14855,101.76945
2.99687,101.56352
1.53382,103.78376
1.51684,103.68533
3.13486,101.72284
3.10676,101.45926
3.12787,101.72485
3.0819,101.67139
4.40532,114.0032
5.31307,100.27684
2.72289,101.95519
3.03399,101.70506
3.16166,101.72036
5.41639,100.33268
3.14973,101.57991
3.20495,101.71481
3.04492,101.44556
3.18761,101.62713
2.43416,101.86307
3.08961,101.54307
3.07137,101.76876
5.93343,116.09947
2.9457,101.58632
5.34833,100.43474
2.93889,101.71337
6.11931,102.22145
3.10482,101.59876
3.0833,101.5829
2.73604,102.22612
5.64083,100.54124
3.10887,101.6781
1.46978,103.78212
1.43761,103.6201
3.15465,101.70853
2.26016,102.19758
4.45739,118.59608
5.41865,116.2246
2.23597,102.30099
6.00934,116.11089
3.2081,101.65351
3.06636,101.65012
3.14516,101.75547
1.56474,103.79154
3.18432,101.69189
3.17734,101.5436
2.81051,102.39577
2.47555,102.21939
4.77219,100.93287
2.91329,101.83823
3.15046,101.70927
3.09988,101.64271
2.16907,102.43187
3.20462,101.68931
3.0549,101.60516
1.57869,103.7488
1.68058,103.52125
2.96779,101.7892
1.47381,103.66878
6.14323,100.36485
4.47061,101.37664
3.36686,101.61029
3.14331,101.74362
6.12487,102.23735
2.97494,101.77183
2.57021,101.82825
2.15198,102.69313
2.86691,101.69544
5.423,100.41322
