locations,lat,lng
"120, Jln Bukit Bintang, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1468673,101.7108831
"48, Jalan Telawi, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1308892,101.6706413
"56, Jalan SS 2/61, SS 2, 47300 Petaling Jaya, Selangor, Malaysia",3.1183693,101.6204422
"1, 2, Jalan 54, Pekan Kepong, 52100 Kuala Lumpur, Selangor, Malaysia",3.2135097,101.6326126
"Subang Parade, 5, Jalan SS 16/1, Ss 16, 47500 Subang Jaya, Selangor, Malaysia",3.0827739,101.5858816
"85, Jalan Pahang, Pekeliling, 53000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1812734,101.701325
"2506, 6, Jln Masjid Negeri, Taman Guan Joo Seng, 11600 Jelutong, Pulau Pinang, Malaysia",5.3848854,100.3053966
"Lot 3.29 & 3.29A, Level, 3, Jalan Kuning, Taman Pelangi, 80400 Johor Bahru, Johor, Malaysia",1.4799714,103.7652664
"13, Jalan 3/27a, Wangsa Maju, 53300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.2021198,101.7341702
"27, 28, Jln Tun Abdul Aziz, Bandar Kajang, 43000 Kajang, Selangor, Malaysia",2.9916225,101.7912406
"2nd Floor, Lot 268, 269, Jalan Tunku Abdul Rahman, 93100 Kuching, Sarawak, Malaysia",1.55741,110.352988
"190, Jalan Tuanku Abdul Rahman, City Centre, 50100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.156296,101.695611
"6, Jln Cheras, Cheras, 56000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1071288,101.7307813
"4, Jalan USJ 10/1, Taipan Business Centre, 46720 Subang Jaya, Selangor, Malaysia",3.0483549,101.5861229
"Bayan Baru, 11900 Bayan Lepas, Pulau Pinang, Malaysia",5.3277136,100.2873569
